PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalExpenditure,CryoSleep,VIP,Cabin_class_A,Cabin_class_B,Cabin_class_C,Cabin_class_D,Cabin_class_E,Cabin_class_F,Cabin_class_G,Cabin_class_T,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0061_01,F/12/S,22.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,2667.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0062_01,F/13/S,62.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,634.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0066_01,G/6/P,62.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,811.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0067_01,G/10/S,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0067_02,G/10/S,18.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,705.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0067_03,F/15/S,21.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,2007.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0068_01,E/4/S,27.0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,1048.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0070_01,F/13/P,19.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,922.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0071_01,F/14/P,17.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,2233.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0072_01,F/17/S,14.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,1064.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0073_01,D/3/P,37.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,879.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0074_01,C/3/S,42.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,8904.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0076_01,F/18/S,27.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,1165.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0077_01,F/15/P,28.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,1309.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0078_01,C/4/S,38.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,15815.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0081_01,G/13/S,13.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0082_01,F/16/P,42.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,7406.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0082_02,F/16/P,2.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0084_01,G/14/S,24.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,705.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0085_01,C/5/S,40.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0086_01,F/17/P,43.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,1362.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0088_01,E/5/S,45.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0090_01,G/15/S,35.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0091_02,F/20/S,27.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,917.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0092_01,G/9/P,19.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,705.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0092_03,G/9/P,3.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0097_01,A/2/S,54.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,1848.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0098_01,G/11/P,26.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,893.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0098_02,G/11/P,26.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,3855.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0099_01,F/19/P,23.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,1301.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0102_01,F/23/S,18.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,921.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0103_02,G/18/S,9.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0103_03,G/18/S,6.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0107_01,D/2/S,21.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,1765.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0108_01,G/19/S,23.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0110_03,B/5/P,42.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,15940.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0110_04,B/5/P,28.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0111_01,E/6/S,29.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0112_01,B/1/S,48.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,2654.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0113_01,F/23/P,64.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,804.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0114_01,G/20/S,27.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,907.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0116_01,D/4/P,33.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,2640.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0119_01,A/0/P,39.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,9307.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0119_02,A/0/P,13.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0122_01,G/21/S,29.0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False,773.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0123_01,F/27/P,18.0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False,702.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0126_01,F/27/S,67.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0127_01,E/7/S,35.0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,False,1022.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0128_01,D/3/S,61.0,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False,3014.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0128_02,E/8/S,45.0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False,2109.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0133_01,F/29/S,19.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0133_02,D/5/S,36.0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False,2738.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0134_01,G/17/P,19.0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,True,744.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0138_01,G/18/P,13.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0139_01,C/6/S,35.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,True,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0140_01,G/19/P,24.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0140_02,F/29/P,26.0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,False,902.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0144_01,F/31/S,20.0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,True,630.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0146_01,G/25/S,56.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0147_01,G/26/S,50.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0148_01,F/31/P,42.0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,False,1158.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0149_01,G/27/S,27.0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0151_01,G/20/P,38.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0160_01,G/22/P,22.0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,False,4180.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0163_01,B/8/P,26.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0163_02,B/8/P,17.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0164_02,G/28/S,17.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0167_01,F/35/S,13.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0167_02,F/35/S,27.0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,False,1572.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0169_01,G/23/P,31.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0170_01,E/10/S,24.0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,False,788.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0171_01,G/30/S,19.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0172_01,G/24/P,32.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0174_01,F/38/P,21.0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,False,593.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0177_01,B/2/S,38.0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,False,27428.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0178_01,D/6/S,38.0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,False,3722.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0179_01,G/26/P,19.0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,True,906.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0179_02,G/26/P,0.0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,False,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0179_03,G/26/P,3.0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,True,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0181_01,G/27/P,20.0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,False,394.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0182_01,C/3/P,24.0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,True,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0183_01,F/36/S,37.0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,True,821.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0186_01,G/28/P,25.0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,False,1018.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0188_01,G/31/S,56.0,0.0,0.0,0.0,0.0,0.0,Branda Romez,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0189_01,E/8/P,49.0,84.0,3.0,401.0,202.0,98.0,Helly Booters,False,788.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0192_01,G/29/P,1.0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0192_02,G/29/P,8.0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,False,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0192_03,G/29/P,39.0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,False,908.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0193_01,F/41/P,2.0,0.0,0.0,0.0,0.0,0.0,Sps Raf,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0193_03,F/41/P,0.0,0.0,0.0,0.0,0.0,0.0,Goles Raf,True,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0195_01,F/42/P,39.0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,True,1273.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0196_01,D/5/P,25.0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,False,1778.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0197_01,C/5/P,36.0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,False,2342.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0199_01,G/33/S,18.0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0200_01,G/31/P,15.0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0201_01,B/3/S,35.0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0201_02,B/3/S,47.0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0202_01,B/9/P,45.0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,True,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0203_01,C/8/S,51.0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,True,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0205_01,G/34/S,29.0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,False,773.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0206_01,C/9/S,27.0,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,True,2981.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0207_01,G/32/P,19.0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0211_01,F/44/P,29.0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,True,1040.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0211_02,F/44/P,11.0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,True,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0211_03,F/44/P,17.0,848.0,0.0,307.0,182.0,0.0,Picers Date,False,1337.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0212_01,E/9/P,13.0,192.0,0.0,0.0,51.0,739.0,Inen Workmans,False,982.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0212_02,F/45/P,35.0,147.0,188.0,0.0,10.0,387.0,Shally Workmans,False,732.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0213_01,F/46/P,21.0,367.0,281.0,0.0,0.0,146.0,Carita Navages,False,794.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0216_01,F/40/S,21.0,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,False,1974.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0217_01,F/47/P,38.0,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,False,1544.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0219_01,G/36/P,19.0,0.0,0.0,0.0,0.0,0.0,Nica River,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0220_01,G/37/P,2.0,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0220_02,G/37/P,0.0,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,True,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0220_03,G/37/P,13.0,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,False,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0220_05,F/48/P,16.0,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,False,1102.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0220_06,G/37/P,1.0,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,False,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0220_07,G/37/P,15.0,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,True,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0221_01,E/13/S,21.0,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,False,2356.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0221_02,E/13/S,23.0,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,False,1298.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0221_03,E/13/S,33.0,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,False,2134.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
